school,city,county,SchoolCode,SchoolName
TAFT UNION HIGH SCHOOL,Taft,Kern,1535905,Taft Union High
TEHACHAPI HIGH SCHOOL,Tehachapi,Kern,1536135,Tehachapi High
WASCO UNION HIGH SCHOOL,Wasco,Kern,1536440,Wasco High
WEST HIGH SCHOOL,Bakersfield,Kern,1536606,West High
WONDERFUL COLL PREP ACAD LOST HILLS,Lost Hills,Kern,0135467,Wonderful College Prep Academy - Lost Hills
WONDERFUL COLLEGE PREP ACAD DELANO,Delano,Kern,0119669,Wonderful College Prep Academy
AVENAL HIGH SCHOOL,Avenal,Kings,1630953,Avenal High
CORCORAN HIGH SCHOOL,Corcoran,Kings,1632207,Corcoran High
HANFORD HIGH SCHOOL,Hanford,Kings,1634401,Hanford High
HANFORD WEST HIGH SCHOOL,Hanford,Kings,1630169,Hanford West High
LEMOORE MIDDLE COLLEGE HIGH SC,Lemoore,Kings,0110205,Lemoore Middle College High
LEMOORE UNION HIGH SCHOOL,Lemoore,Kings,1635606,Lemoore High
SIERRA PACIFIC HIGH SCHOOL,Hanford,Kings,0118919,Sierra Pacific High
CLEAR LAKE HIGH SCHOOL,Lakeport,Lake,1732304,Clear Lake High
KELSEYVILLE HIGH SCHOOL,Kelseyville,Lake,1734359,Kelseyville High
LOWER LAKE HIGH SCHOOL,Lower Lake,Lake,1735000,Lower Lake High
MIDDLETOWN HIGH SCHOOL,Middletown,Lake,1736008,Middletown High
UPPER LAKE HIGH SCHOOL,Upper Lake,Lake,1737006,Upper Lake High
LASSEN HIGH SCHOOL,Susanville,Lassen,1833805,Lassen High
ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,1935121,Abraham Lincoln Senior High
ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,0109926,Academia Avance Charter
ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,0117721,Contreras Learning Center-Academic Leadership Community
ACADEMIES EDUCATION/EMPOWERMNT,Carson,Los Angeles,0126615,Academies of Education and Empowerment at Carson High
ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,0126623,Academy of Medical Arts at Carson High
ACADEMY OF THE CANYONS,Santa Clarita,Los Angeles,1996321,Academy of the Canyons
AGOURA HIGH SCHOOL,Agoura Hills,Los Angeles,1930080,Agoura High
ALAIN LEROY LOCKE COLLEGE PREP,Los Angeles,Los Angeles,0118588,Alain Leroy Locke College Preparatory Academy
ALEXANDER HAMILTON HIGH SCHOOL,Los Angeles,Los Angeles,1933852,Alexander Hamilton Senior High
ALHAMBRA HIGH SCHOOL,Alhambra,Los Angeles,1930163,Alhambra High
ALLIANCE CINDY/BILL SIMON TECH,Los Angeles,Los Angeles,0121285,Alliance Cindy and Bill Simon Technology Academy High
ALLIANCE COLLINS COLLEGE READY HS,Huntington Park,Los Angeles,0108936,Alliance Collins Family College-Ready High
ALLIANCE DR OLGA MOHAN HIGH SC,Los Angeles,Los Angeles,0111500,Alliance Dr. Olga Mohan High
ALLIANCE GERTZ-RESSLER HIGH SC,Los Angeles,Los Angeles,0106864,Alliance Gertz-Ressler Richard Merkin 6-12 Complex
ALLIANCE JUDY BURTON TECH ACAD,Los Angeles,Los Angeles,0108894,Alliance Judy Ivie Burton Technology Academy High
ALLIANCE LEICHTMAN-LEVINE ESHS,Los Angeles,Los Angeles,0117606,Alliance Leichtman-Levine Family Foundation Environmental Science High
ALLIANCE M&E STERN MATH SCI SCH,Los Angeles,Los Angeles,0111658,Alliance Marc & Eva Stern Math and Science
ALLIANCE MARGARET M BLOOMFIELD,Huntington Park,Los Angeles,0124941,Alliance Margaret M. Bloomfield Technology Academy High
ALLIANCE MIT 6-12 COMPLEX,Sun Valley,Los Angeles,NA,NA
ALLIANCE MORGAN MCKINZIE HS,Los Angeles,Los Angeles,0116509,Alliance Morgan McKinzie High
ALLIANCE NEUWIRTH LEADERSHIP ACADMY,Los Angeles,Los Angeles,0111492,Alliance Patti And Peter Neuwirth Leadership Academy
ALLIANCE OUCHI-O'DONOVAN 6-12,Los Angeles,Los Angeles,0111641,Alliance Ouchi-O'Donovan 6-12 Complex
ALLIANCE PIERA BARBAGLIA SHAHEEN HS,Los Angeles,Los Angeles,0117598,Alliance Piera Barbaglia Shaheen Health Services Academy
ALLIANCE RENEE & MEYER LUSKIN,Los Angeles,Los Angeles,0124891,Alliance Renee and Meyer Luskin Academy High
ALLIANCE SMIDT TECHNOLOGY HIGH,Los Angeles,Los Angeles,0123133,Alliance Susan and Eric Smidt Technology High
ALLIANCE TED K TAJIMA HIGH SCH,Los Angeles,Los Angeles,0123141,Alliance Ted K. Tajima High
ALLIANCE TENNENBAUM FAMILY TECH HS,Los Angeles,Los Angeles,0121293,Alliance Tennenbaum Family Technology High
AMBASSADOR SCHL GLOBAL LDRSHP,Los Angeles,Los Angeles,0121095,Ambassador-Global Leadership
ANAHUACALMECAC INTRL UNIV PREP,Los Angeles,Los Angeles,0132928,Anahuacalmecac International University Preparatory of North America
ANIMO COMPTON CHARTER SCHOOL,Los Angeles,Los Angeles,0137984,Animo Compton Charter
ANIMO CTY CHAMPIONS CHARTER HS,Inglewood,Los Angeles,0136119,Animo City of Champions Charter High
ANIMO INGLEWOOD CHARTER HS,Inglewood,Los Angeles,1996586,Animo Inglewood Charter High
ANIMO JACKIE ROBINSON CHRT SCH,Los Angeles,Los Angeles,0111583,Animo Jackie Robinson High
ANIMO LEADERSHIP CHARTER HS,Inglewood,Los Angeles,1996313,Animo Leadership High
ANIMO PAT BROWN CHARTER HS,Los Angeles,Los Angeles,0106849,Animo Pat Brown
ANIMO RALPH BUNCHE CHARTER HS,Los Angeles,Los Angeles,0111575,Animo Ralph Bunche Charter High
ANIMO S LOS ANGELES CHARTER HS,Los Angeles,Los Angeles,1935352,Los Angeles Senior High
ANIMO VENICE CHARTER HS,Venice,Los Angeles,0106831,Animo Venice Charter High
ANIMO WATTS COLLGE PREP ACDMY,Los Angeles,Los Angeles,0111625,Animo Watts College Preparatory Academy
ANTELOPE VALLEY HIGH SCHOOL,Lancaster,Los Angeles,1930213,Antelope Valley High
APPLIED TECHNOLOGY CENTER,Montebello,Los Angeles,0124552,Applied Technology Center
ARCADIA HIGH SCHOOL,Arcadia,Los Angeles,1930288,Arcadia High
ARLETA HIGH SCHOOL,Arleta,Los Angeles,0112045,Arleta High
ARROYO HIGH SCHOOL,El Monte,Los Angeles,1930320,Arroyo High
ARTESIA HIGH SCHOOL,Lakewood,Los Angeles,1930361,Artesia High
ASPIRE OLLIN UNIV PREP ACDMY,Huntington Park,Los Angeles,0112128,Aspire Ollin University Preparatory Academy
ASPIRE PACIFIC ACADEMY,Huntington Park,Los Angeles,0122721,Aspire Pacific Academy
ASSURANCE LEARNING ACADEMY,Lancaster,Los Angeles,0127100,Assurance Learning Academy
AVESON GLOBAL LEADERSHIP ACADEMY,Altadena,Los Angeles,0113464,Aveson Global Leadership Academy
AZUSA HIGH SCHOOL,Azusa,Los Angeles,1930528,Azusa High
BALDWIN PARK HIGH SCHOOL,Baldwin Park,Los Angeles,1930601,Baldwin Park High
BASSETT HIGH SCHOOL,La Puente,Los Angeles,1930700,Bassett Senior High
BELL GARDENS HIGH SCHOOL,Bell Gardens,Los Angeles,1930825,Bell Gardens High
BELL HIGH SCHOOL,Bell,Los Angeles,1930866,Bell Senior High
BELLFLOWER HIGH SCHOOL,Bellflower,Los Angeles,1930775,Bellflower High
BELMONT HIGH SCHOOL,Los Angeles,Los Angeles,1930924,Belmont Senior High
BENJAMIN FRANKLIN HIGH SCHOOL,Los Angeles,Los Angeles,1933043,Benjamin Franklin Senior High
BEVERLY HILLS HIGH SCHOOL,Beverly Hills,Los Angeles,1930981,Beverly Hills High
BIRMINGHAM COMMUNITY CHARTER HS,Lake Balboa,Los Angeles,1931047,Birmingham Community Charter High
BLAIR HIGH SCHOOL,Pasadena,Los Angeles,1931062,Blair High
BONITA HIGH SCHOOL,La Verne,Los Angeles,1931088,Bonita High
BOYLE HEIGHTS STEM MAGNET HIGH SCH,Los Angeles,Los Angeles,NA,NA
BRIO COLLEGE PREP,Los Angeles,Los Angeles,0135723,Ednovate - Brio College Prep
BURBANK HIGH SCHOOL,Burbank,Los Angeles,1931187,Burbank High
CA SCH ARTS SAN GABRIEL VALLEY,Duarte,Los Angeles,0134858,California School of the Arts - San Gabriel Valley
CALABASAS HIGH SCHOOL,Calabasas,Los Angeles,1931781,Calabasas High
CALIFORNIA ACAD MATH & SCIENCE,Carson,Los Angeles,1995539,California Academy of Mathematics and Science
CALIFORNIA HIGH SCHOOL,Whittier,Los Angeles,1931302,California High
CAMINO NUEVO HIGH SCH DALZELL LANCE,Los Angeles,Los Angeles,0127910,Camino Nuevo High #2
CANOGA PARK HIGH SCHOOL,Canoga Park,Los Angeles,1931476,Canoga Park Senior High
CANYON HIGH SCHOOL,Canyon Country,Los Angeles,1931492,Canyon High
CARSON HIGH SCHOOL,Carson,Los Angeles,1931526,Carson Senior High
CASTAIC HIGH SCHOOL,Castaic,Los Angeles,0138727,Castaic High
CATCH PREP CHARTER HIGH,Los Angeles,Los Angeles,0101659,"CATCH Prep Charter High, Inc."
CENTENNIAL HIGH SCHOOL,Compton,Los Angeles,1931567,Centennial High
CENTRAL CITY VALUE HIGH SCHOOL,Los Angeles,Los Angeles,0100800,Central City Value
CERRITOS HIGH SCHOOL,Cerritos,Los Angeles,1930056,Cerritos High
CHARTER HS ARTS MEDIA PERFORM,Van Nuys,Los Angeles,0108878,CHAMPS - Charter HS of Arts-Multimedia & Performing
CHARTER OAK HIGH SCHOOL,Covina,Los Angeles,1931666,Charter Oak High
CHATSWORTH CHARTER HIGH SCHOOL,Chatsworth,Los Angeles,1931708,Chatsworth Charter High
CHAVEZ LA ACADEMY OF SCIENCE,San Fernando,Los Angeles,0100677,High Tech LA
CHAVEZ LA ARTES,San Fernando,Los Angeles,NA,NA
CHAVEZ LEARNING ACAD-TECH PREP ACAD,San Fernando,Los Angeles,0124404,Cesar E. Chavez Learning Academies-Technology Preparatory Academy
CITY HONORS HIGH SCHOOL,Inglewood,Los Angeles,1996529,City Honors International Preparatory High
CITY OF ANGELS SCHOOL,Los Angeles,Los Angeles,1996115,City of Angels
CLAREMONT HIGH SCHOOL,Claremont,Los Angeles,1931823,Claremont High
CLARK MAGNET HIGH SCHOOL,La Crescenta,Los Angeles,1996131,Anderson W. Clark Magnet High
CLEVELAND HIGH SCHOOL,Reseda,Los Angeles,1931864,Grover Cleveland Charter High
COMM&TECH SCHOOL RIVERA LRNG COMPLX,Los Angeles,Los Angeles,NA,NA
COMPTON EARLY COLLEGE HIGH SCH,Compton,Los Angeles,0132969,Compton Early College High
COMPTON HIGH SCHOOL,Compton,Los Angeles,1931963,Compton High
CORTINES SCHOOL VPA,Los Angeles,Los Angeles,0119727,Ramon C. Cortines School of Visual and Performing Arts
COVINA HIGH SCHOOL,Covina,Los Angeles,1932086,Covina High
CRENSHAW HIGH SCHOOL,Los Angeles,Los Angeles,1932128,"Crenshaw Science, Technology, Engineering, Math and Medicine Magnet"
